Provincia,Poblacion,Superficie,Region,SE,FechaReporte,IA,SAV-C,SAV-P,SAV-Nexo,SAV-Total,SAV-Serotipos,CAVE-C,CAVE-P,Importados,CAVOP-C,CAVOP-P,Autoctonos,EnInv-C,EnInv-P,0,Total notificados para dengue,Diferencia Semana Anterior,Fallecidos,AcumFallecidos
Buenos Aires,17541141,307571,Centro,23,6/6/2020,30.43,4323,39,865,5227,DEN 1 - DEN 2 - DEN 4,369,21,390,104,7,5338,62,56,118,12507,147,,4
CABA,3075646,200,Centro,23,6/6/2020,219.50,3721,18,2907,6646,DEN 1 - DEN 2 - DEN 4,300,2,302,105,0,6751,0,54,54,11602,47,,1
Córdoba,3760450,165321,Centro,23,6/6/2020,87.09,2304,14,937,3255,DEN 1 - DEN 4,24,4,28,19,1,3275,68,167,235,8351,32,,5
Entre Ríos,1385961,78781,Centro,23,6/6/2020,41.92,363,5,193,561,DEN 1 - DEN 2 - DEN 4,18,1,19,19,1,581,4,8,12,1309,3,,1
Santa Fe,3536418,133007,Centro,23,6/6/2020,120.77,1759,10,2474,4243,DEN 1 - DEN 2 - DEN 4,42,5,47,26,2,4271,28,31,59,7471,119,,4
Mendoza,1990338,148827,Cuyo,23,6/6/2020,0.40,1,0,1,2,DEN 2 - DEN 4,4,1,5,4,2,8,1,2,3,30,0,,0
San Juan,781217,89651,Cuyo,23,6/6/2020,11.65,38,44,0,82,-,0,1,1,7,2,91,0,9,9,231,12,,0
San Luis,508328,76748,Cuyo,23,6/6/2020,4.92,18,0,0,18,-,0,1,1,6,1,25,0,2,2,132,0,,0
Chaco,1204541,99633,NEA,23,6/6/2020,212.94,2195,13,320,2528,DEN 1 - DEN 4,20,0,20,37,0,2565,1,71,72,5497,140,,1
Corrientes,1120801,88199,NEA,23,6/6/2020,190.76,1932,99,33,2064,DEN 1 - DEN 4,49,3,52,56,18,2138,4,164,168,5235,298,,0
Formosa,605193,72066,NEA,23,6/6/2020,142.43,214,6,630,850,DEN 1 - DEN 4,34,2,36,12,0,862,0,5,5,1443,113,,0
Misiones,1261294,29801,NEA,23,6/6/2020,436.06,1554,1,3934,5489,DEN 1 - DEN 2 - DEN 4,28,0,28,11,0,5500,1,178,179,5997,149,,2
Catamarca,415438,102602,NOA,23,6/6/2020,75.58,253,4,18,275,DEN 1 - DEN 4,8,0,8,37,2,314,8,2,10,1482,9,,0
Jujuy,770881,53219,NOA,23,6/6/2020,648.35,996,31,3955,4982,DEN 1 - DEN 4,10,0,10,15,1,4998,29,27,56,6858,118,,0
La Rioja,393531,89680,NOA,23,6/6/2020,220.31,831,15,20,866,DEN 1,1,0,1,1,0,867,0,22,22,1774,11,,2
Salta,1424397,155488,NOA,23,6/6/2020,453.81,1723,166,4565,6454,DEN 1 - DEN 4,37,2,39,10,0,6464,45,99,144,10028,120,,1
Santiago del Estero,978313,136351,NOA,23,6/6/2020,13.49,42,0,86,128,DEN 1 - DEN 4,4,0,4,4,0,132,1,3,4,1231,18,,0
Tucuman,1694656,22524,NOA,23,6/6/2020,1.00,7131,7131,DEN,1,DEN 1 - DEN 4,8,2,10,13,3,17,3,134,137,7294,1,,4
Chubut,618994,224686,SUR,23,6/6/2020,0.00,0,0,0,0,-,0,0,0,0,0,0,4,1,5,20,0,,0
La Pampa,358428,143440,SUR,23,6/6/2020,1.39,0,0,0,0,-,0,0,0,4,1,5,0,1,1,24,0,,0
Neuquén,664057,94078,SUR,23,6/6/2020,0.75,0,0,0,0,-,0,2,2,1,4,5,1,0,1,32,0,,0
Río Negro,747610,203013,SUR,23,6/6/2020,0.54,0,0,0,0,-,1,1,2,4,0,4,0,0,0,25,0,,0
Santa Cruz,365698,243943,SUR,23,6/6/2020,0.27,0,0,0,0,-,0,0,0,1,0,1,0,5,5,34,0,,0
Tierra del Fuego,176830,21571,SUR,23,6/6/2020,1.13,0,0,0,0,-,0,0,0,1,1,2,0,2,2,19,0,,0
Centro,,,,23,6/6/2020,,12470,86,7376,19932,,753,33,786,273,11,20216,162,316,478,41240,348,,
Cuyo,,,,23,6/6/2020,,57,44,1,102,,4,3,7,17,5,124,1,13,14,393,12,,
NEA,,,,23,6/6/2020,,5895,119,4917,10931,,131,5,136,116,18,11065,6,418,424,18172,700,,0
NOA,,,,23,6/6/2020,,3845,216,15775,19836,,68,4,72,80,6,19922,86,287,373,28667,758,,0
Sur,,,,23,6/6/2020,,0,0,0,0,,1,3,4,11,6,17,5,9,14,154,0,,0
Total PAIS,,,,23,6/6/2020,,22267,465,28069,50801,,957,48,1005,497,46,51344,260,1043,1303,88626,50801,,25
Buenos Aires,17541141,307571,Centro,22,30/5/2020,29.61,4280,12,788,5080,DEN 1 - DEN 2 - DEN 4,372,19,391,108,6,5194,33,62,95,12330,102,,
CABA,3075646,200,Centro,22,30/5/2020,217.94,3669,9,2921,6599,DEN 1 - DEN 2 - DEN 4,304,0,304,104,0,6703,56,37,93,11419,152,,
Córdoba,3760450,165321,Centro,22,30/5/2020,86.24,2299,12,912,3223,DEN 1 - DEN 4,24,4,28,19,1,3243,66,163,229,8254,388,,
Entre Ríos,1385961,78781,Centro,22,30/5/2020,41.70,362,5,191,558,DEN 1 - DEN 2 - DEN 4,18,1,19,19,1,578,4,7,11,1291,9,,
Santa Fe,3536418,133007,Centro,22,30/5/2020,117.35,1687,9,2428,4124,DEN 1 - DEN 2 - DEN 4,44,7,51,25,1,4150,24,30,54,7301,219,,
Mendoza,1990338,148827,Cuyo,22,30/5/2020,0.40,1,0,1,2,DEN 2 - DEN 4,4,1,5,4,2,8,1,2,3,30,1,,
San Juan,781217,89651,Cuyo,22,30/5/2020,10.11,36,34,0,70,-,0,1,1,7,2,79,0,20,20,224,47,,
San Luis,508328,76748,Cuyo,22,30/5/2020,4.92,18,0,0,18,-,1,1,2,6,1,25,0,2,2,131,0,,
Chaco,1204541,99633,NEA,22,30/5/2020,201.40,2103,11,274,2388,DEN 1 - DEN 4,26,0,26,38,0,2426,0,60,60,5302,232,,
Corrientes,1120801,88199,NEA,22,30/5/2020,164.17,1642,85,39,1766,DEN 1 - DEN 4,49,3,52,56,18,1840,4,141,145,4835,253,,
Formosa,605193,72066,NEA,22,30/5/2020,123.76,214,6,517,737,DEN 1 - DEN 4,34,2,36,12,0,749,0,5,5,1339,71,,
Misiones,1261294,29801,NEA,22,30/5/2020,424.25,1554,1,3785,5340,DEN 1 - DEN 2 - DEN 4,28,0,28,11,0,5351,1,178,179,,256,,
Catamarca,415438,102602,NOA,22,30/5/2020,72.94,246,4,16,266,DEN 1 - DEN 4,8,0,8,36,1,303,7,3,10,1469,-137,,
Jujuy,770881,53219,NOA,22,30/5/2020,633.04,958,33,3873,4864,DEN 1 - DEN 4,10,0,10,15,1,4880,29,22,51,6720,338,,
La Rioja,393531,89680,NOA,22,30/5/2020,217.52,821,16,18,855,DEN 1,1,0,1,1,0,856,0,20,20,1724,31,,
Salta,1424397,155488,NOA,22,30/5/2020,445.38,1693,168,4473,6334,DEN 1 - DEN 4,36,2,38,10,0,6344,36,90,126,9908,401,,
Santiago del Estero,978313,136351,NOA,22,30/5/2020,11.65,42,0,68,110,DEN 1 - DEN 4,4,0,4,4,0,114,1,3,4,1193,20,,
Tucuman,1694656,22524,NOA,22,30/5/2020,393.30,0,0,6649,6649,DEN 1 - DEN 4,8,2,10,13,3,6665,3,134,137,6812,6649,,
Chubut,618994,224686,SUR,22,30/5/2020,0.00,0,0,0,0,-,0,0,0,0,0,0,4,1,5,20,0,,
La Pampa,358428,143440,SUR,22,30/5/2020,1.39,0,0,0,0,-,0,0,0,4,1,5,0,1,1,24,0,,
Neuquén,664057,94078,SUR,22,30/5/2020,0.75,0,0,0,0,-,0,2,2,1,4,5,0,0,0,32,0,,
Río Negro,747610,203013,SUR,22,30/5/2020,0.54,0,0,0,0,-,1,1,2,4,0,4,0,0,0,25,0,,
Santa Cruz,365698,243943,SUR,22,30/5/2020,0.27,0,0,0,0,-,0,0,0,1,0,1,0,5,5,33,0,,
Tierra del Fuego,176830,21571,SUR,22,30/5/2020,1.13,0,0,0,0,-,0,0,0,1,1,2,0,2,2,19,0,,
Centro,,,,22,30/5/2020,,12297,47,7240,19584,-,762,31,793,275,9,#REF!,183,299,482,40595,870,,
Cuyo,,,,22,30/5/2020,,55,34,1,90,-,5,3,8,17,5,#REF!,1,24,25,385,48,,
NEA,,,,22,30/5/2020,,5513,103,4615,10231,-,137,5,142,117,18,#REF!,5,384,389,17321,812,,
NOA,,,,22,30/5/2020,,3760,221,15097,19078,-,67,4,71,79,5,#REF!,76,272,348,27826,1283,,
Sur,,,,22,30/5/2020,,0,0,0,0,-,1,3,4,11,6,#REF!,4,9,13,153,0,,
Total PAIS,,,,22,30/5/2020,,21625,405,26953,48983,-,972,46,1018,499,43,49525,269,988,1257,86280,48983,,
Buenos Aires,17541141,307571,Centro,21,23/5/2020,29.03,4188,7,783,4978,DEN 1 - DEN 2 - DEN 4,369,19,388,107,7,5092,12,36,48,12091,233,,
CABA,3075646,200,Centro,21,23/5/2020,213.00,3512,0,2935,6447,DEN 1 - DEN 2 - DEN 4,301,0,301,104,0,6551,1,0,1,11156,102,,
Córdoba,3760450,165321,Centro,21,23/5/2020,75.92,2272,2,561,2835,DEN 1 - DEN 4,24,4,28,19,1,2855,66,110,176,7990,936,,
Entre Ríos,1385961,78781,Centro,21,23/5/2020,41.05,355,5,189,549,DEN 1 - DEN 2 - DEN 4,18,1,19,19,1,569,4,7,11,1259,30,,
Santa Fe,3536418,133007,Centro,21,23/5/2020,111.16,1614,9,2282,3905,DEN 1 - DEN 2 - DEN 4,43,7,50,25,1,3931,23,33,56,7077,278,,
Mendoza,1990338,148827,Cuyo,21,23/5/2020,0.35,1,0,0,1,DEN 2 - DEN 4,4,1,5,4,2,7,1,2,3,29,-7,,
San Juan,781217,89651,Cuyo,21,23/5/2020,4.10,23,0,0,23,-,0,0,0,7,2,32,10,54,64,211,4,,
San Luis,508328,76748,Cuyo,21,23/5/2020,4.92,18,0,0,18,-,1,1,2,6,1,25,0,2,2,124,4,,
Chaco,1204541,99633,NEA,21,23/5/2020,181.73,1898,3,255,2156,DEN 1 - DEN 4,20,0,20,33,0,2189,0,55,55,4993,153,,
Corrientes,1120801,88199,NEA,21,23/5/2020,141.60,1424,55,34,1513,DEN 1 - DEN 4,49,3,52,56,18,1587,5,139,144,4565,280,,
Formosa,605193,72066,NEA,21,23/5/2020,112.03,213,1,452,666,DEN 1 - DEN 4,34,2,36,12,0,678,0,10,10,1270,34,,
Misiones,1261294,29801,NEA,21,23/5/2020,403.95,1536,0,3548,5084,DEN 1 - DEN 2 - DEN 4,28,0,28,11,0,5095,1,173,174,5577,176,,
Catamarca,415438,102602,NOA,21,23/5/2020,114.34,235,153,15,403,DEN 1 - DEN 4,7,0,7,36,36,475,10,8,18,1462,10,,
Jujuy,770881,53219,NOA,21,23/5/2020,589.20,902,0,3624,4526,DEN 1 - DEN 4,10,0,10,15,1,4542,42,52,94,6525,518,,
La Rioja,393531,89680,NOA,21,23/5/2020,209.64,806,0,18,824,DEN 1,1,0,1,1,0,825,0,35,35,1706,12,,
Salta,1424397,155488,NOA,21,23/5/2020,417.23,1604,1,4328,5933,DEN 1 - DEN 4,35,2,37,10,0,5943,59,241,300,9694,388,,
Santiago del Estero,978313,136351,NOA,21,23/5/2020,9.61,41,0,49,90,DEN 1 - DEN 4,4,0,4,4,0,94,2,3,5,1141,9,,
Tucuman,1694656,22524,NOA,21,23/5/2020,356.12,0,0,6019,6019,DEN 1 - DEN 4,8,2,10,13,3,6035,3,134,137,6182,534,,
Chubut,618994,224686,SUR,21,23/5/2020,0.00,0,0,0,0,-,0,0,0,0,0,0,4,1,5,20,0,,
La Pampa,358428,143440,SUR,21,23/5/2020,1.39,0,0,0,0,-,0,0,0,5,0,5,0,1,1,24,0,,
Neuquén,664057,94078,SUR,21,23/5/2020,0.75,0,0,0,0,-,0,2,2,1,4,5,0,0,0,32,0,,
Río Negro,747610,203013,SUR,21,23/5/2020,0.54,0,0,0,0,-,1,1,2,4,0,4,0,0,0,25,0,,
Santa Cruz,365698,243943,SUR,21,23/5/2020,0.27,0,0,0,0,-,0,0,0,1,0,1,0,5,5,33,0,,
Tierra del Fuego,176830,21571,SUR,21,23/5/2020,1.13,0,0,0,0,-,0,0,0,1,1,2,0,1,1,19,0,,
Centro,,,,21,23/5/2020,,11941,23,6750,18714,,755,31,786,274,10,18998,106,186,292,39573,1579,,
Cuyo,,,,21,23/5/2020,,42,0,0,42,,5,2,7,17,5,64,11,58,69,364,8,,
NEA,,,,21,23/5/2020,,5071,59,4289,9419,,131,5,136,112,18,9549,6,377,383,16405,643,,
NOA,,,,21,23/5/2020,,3588,154,14053,17795,,65,4,69,79,40,17914,116,473,589,26710,2051,,
Sur,,,,21,23/5/2020,,0,0,0,0,,1,3,4,12,5,17,4,8,12,153,0,,
Total PAIS,,,,21,23/5/2020,,20642,236,25092,45970,,957,45,1002,494,78,46542,243,1102,1345,83205,-35942,,
Buenos Aires,17541141,307571,Centro,20,16/5/2020,27.68,3894,184,667,4745,DEN 1 - DEN 2 - DEN 4,358,22,380,105,6,4856,15,39,54,11689,438,,
CABA,3075646,200,Centro,20,16/5/2020,209.65,3373,0,2972,6345,DEN 1 - DEN 2 - DEN 4,300,0,300,103,0,6448,1,0,1,10825,137,,
Córdoba,3760450,165321,Centro,20,16/5/2020,50.98,1379,1,519,1899,DEN 1 - DEN 4,24,3,27,18,0,1917,335,528,863,7531,105,,
Entre Ríos,1385961,78781,Centro,20,16/5/2020,38.82,343,3,173,519,DEN 1 - DEN 2 - DEN 4,17,1,18,18,1,538,3,6,9,1194,22,,
Santa Fe,3536418,133007,Centro,20,16/5/2020,103.24,1427,5,2195,3627,DEN 1 - DEN 2 - DEN 4,40,5,45,23,1,3651,42,28,70,6622,423,,
Mendoza,1990338,148827,Cuyo,20,16/5/2020,0.70,1,0,0,8,DEN 2 - DEN 4,4,0,4,4,2,14,1,2,3,28,1,,
San Juan,781217,89651,Cuyo,20,16/5/2020,3.58,19,0,0,19,-,0,0,0,7,2,28,5,2,7,168,5,,
San Luis,508328,76748,Cuyo,20,16/5/2020,3.74,14,0,0,14,-,0,1,1,4,1,19,0,2,2,122,0,,
Chaco,1204541,99633,NEA,20,16/5/2020,168.69,1803,3,197,2003,DEN 1 - DEN 4,16,0,16,29,0,2032,1,34,35,4714,333,,
Corrientes,1120801,88199,NEA,20,16/5/2020,116.35,1142,52,39,1233,DEN 1 - DEN 4,46,3,49,54,17,1304,5,74,79,4129,212,,
Formosa,605193,72066,NEA,20,16/5/2020,106.41,212,1,419,632,DEN 1 - DEN 4,34,2,36,12,0,644,0,9,9,1235,23,,
Misiones,1261294,29801,NEA,20,16/5/2020,390.00,1489,0,3419,4908,DEN 1 - DEN 2 - DEN 4,27,0,27,11,0,4919,0,169,169,5333,132,,
Catamarca,415438,102602,NOA,20,16/5/2020,111.93,225,153,15,393,DEN 1 - DEN 4,7,0,7,36,36,465,10,3,13,1446,17,,
Jujuy,770881,53219,NOA,20,16/5/2020,522.00,839,0,3169,4008,DEN 1 - DEN 4,10,0,10,15,1,4024,44,43,87,6135,656,,
La Rioja,393531,89680,NOA,20,16/5/2020,206.59,794,0,18,812,DEN 1,1,0,1,1,0,813,0,32,32,1690,39,,
Salta,1424397,155488,NOA,20,16/5/2020,389.99,1462,0,4083,5545,DEN 1 - DEN 4,32,1,33,10,0,5555,83,191,274,9177,1364,1,
Santiago del Estero,978313,136351,NOA,20,16/5/2020,8.69,37,0,44,81,DEN 1 - DEN 4,4,0,4,4,0,85,5,3,8,1091,3,,
Tucuman,1694656,22524,NOA,20,16/5/2020,324.61,0,0,4905,5485,DEN 1 - DEN 4,8,2,10,13,3,5501,3,134,137,5068,179,,
Chubut,618994,224686,SUR,20,16/5/2020,0.00,0,0,0,0,-,0,0,0,0,0,0,4,1,5,19,0,,
La Pampa,358428,143440,SUR,20,16/5/2020,1.39,0,0,0,0,-,0,0,0,5,0,5,0,0,0,23,0,,
Neuquén,664057,94078,SUR,20,16/5/2020,0.75,0,0,0,0,-,0,2,2,1,4,5,0,0,0,32,0,,
Río Negro,747610,203013,SUR,20,16/5/2020,0.54,0,0,0,0,-,1,1,2,4,0,4,0,0,0,25,0,,
Santa Cruz,365698,243943,SUR,20,16/5/2020,0.27,0,0,0,0,-,0,0,0,1,0,1,0,3,3,33,0,,
Tierra del Fuego,176830,21571,SUR,20,16/5/2020,1.13,0,0,0,0,-,0,0,0,1,1,2,0,0,0,19,0,,
Centro,,,,20,16/5/2020,,10416,193,6526,17135,,739,31,770,267,8,17410,396,601,997,132,1125,,
Cuyo,,,,20,16/5/2020,,34,0,0,34,,4,1,5,15,5,54,6,6,12,184,5,,
NEA,,,,20,16/5/2020,,4646,56,4074,8776,,123,5,128,106,17,8899,6,286,292,368,700,,
NOA,,,,20,16/5/2020,,3357,153,12234,15744,,62,3,65,79,40,15863,145,406,551,761,1678,,
Sur,,,,20,16/5/2020,,0,0,0,0,,1,3,4,12,5,17,4,4,8,1497,0,,
Total PAIS,,,,20,16/5/2020,,34969,752,45611,81912,,1805,79,1884,883,126,82921,1104,2494,3598,73921,7345,,
Buenos Aires,17541141,307571,Centro,19,9/5/2020,25.20,3630,47,630,4307,DEN 1 - DEN 2 - DEN 4,362,22,384,106,7,4420,142,214,356,11068,55,,4
CABA,3075646,200,Centro,19,9/5/2020,205.19,3236,3,2969,6208,DEN 1 - DEN 2 - DEN 4,297,0,297,103,0,6311,9,14,23,10128,590,,1
Córdoba,3760450,165321,Centro,19,9/5/2020,48.21,1348,14,432,1794,DEN 1 - DEN 4,24,4,28,18,1,1813,325,564,889,6847,247,,0
Entre Ríos,1385961,78781,Centro,19,9/5/2020,37.23,336,6,155,497,DEN 1 - DEN 2 - DEN 4,16,2,18,17,2,516,1,6,7,1131,46,,5
Santa Fe,3536418,133007,Centro,19,9/5/2020,91.28,1070,26,2108,3204,DEN 1 - DEN 2 - DEN 4,33,5,38,23,1,3228,23,30,53,6004,368,,0
Mendoza,1990338,148827,Cuyo,19,9/5/2020,0.65,1,0,0,7,DEN 2 - DEN 4,4,1,5,4,2,13,0,2,2,27,1,,6
San Juan,781217,89651,Cuyo,19,9/5/2020,3.07,5,9,0,14,Sin información,0,0,0,7,3,24,2,33,35,116,10,,16
San Luis,508328,76748,Cuyo,19,9/5/2020,3.74,14,0,0,14,Sin información,0,1,1,4,1,19,0,2,2,114,1,,0
Chaco,1204541,99633,NEA,19,9/5/2020,140.80,1538,10,122,1670,DEN 1 - DEN 4,12,0,12,26,0,1696,0,37,37,4187,254,,4
Corrientes,1120801,88199,NEA,19,9/5/2020,97.52,936,53,32,1021,DEN 1 - DEN 4,46,3,49,54,18,1093,1,83,84,3767,124,,0
Formosa,605193,72066,NEA,19,9/5/2020,102.61,192,16,401,609,DEN 1 - DEN 4,33,3,36,12,0,621,0,15,15,1209,128,,1
Misiones,1261294,29801,NEA,19,9/5/2020,379.61,2189,0,2587,4776,DEN 1 - DEN 2 - DEN 4,27,0,27,12,0,4788,27,170,197,5206,1356,,0
Catamarca,415438,102602,NOA,19,9/5/2020,107.84,213,149,14,376,DEN 1 - DEN 4,3,0,3,36,36,448,10,3,13,1287,51,,5
Jujuy,770881,53219,NOA,19,9/5/2020,436.90,707,66,2579,3352,DEN 1 - DEN 4,8,2,10,14,2,3368,39,59,98,5448,717,,0
La Rioja,393531,89680,NOA,19,9/5/2020,196.68,755,0,18,773,DEN 1,1,0,1,1,0,774,0,32,32,1616,3,,2
Salta,1424397,155488,NOA,19,9/5/2020,294.23,1403,7,2771,4181,DEN 1 - DEN 4,33,1,34,10,0,4191,45,218,263,7532,490,,3
Santiago del Estero,978313,136351,NOA,19,9/5/2020,8.38,40,0,38,78,DEN 1 - DEN 4,4,0,4,4,0,82,2,3,5,1030,3,,0
Tucuman,1694656,22524,NOA,19,9/5/2020,314.05,557,23,4726,5306,DEN 1 - DEN 4,8,2,10,13,3,5322,3,143,146,7839,1499,,47
Chubut,618994,224686,SUR,19,9/5/2020,0.00,0,0,0,0,Sin información,0,0,0,0,0,0,4,1,5,18,0,,52
La Pampa,358428,143440,SUR,19,9/5/2020,1.39,0,0,0,0,Sin información,0,0,0,5,0,5,0,0,0,23,0,,0
Neuquén,664057,94078,SUR,19,9/5/2020,0.75,0,0,0,0,Sin información,0,2,2,1,4,5,0,1,1,32,0,,2
Río Negro,747610,203013,SUR,19,9/5/2020,0.54,0,0,0,0,Sin información,1,1,2,4,0,4,0,0,0,25,0,,0
Santa Cruz,365698,243943,SUR,19,9/5/2020,0.27,0,0,0,0,Sin información,0,0,0,1,0,1,0,4,4,31,0,,0
Tierra del Fuego,176830,21571,SUR,19,9/5/2020,1.13,0,0,0,0,Sin información,0,0,0,1,1,2,0,0,0,16,0,,0
Centro,,,,19,9/5/2020,,9620,96,6294,16010,,732,33,765,267,11,16288,500,828,1328,35178,1306,,1
Cuyo,,,,19,9/5/2020,,20,9,0,29,,4,2,6,15,6,50,2,37,39,257,11,,0
NEA,,,,19,9/5/2020,,4855,79,3142,8076,,118,6,124,104,18,8198,28,305,333,14369,1862,,0
NOA,,,,19,9/5/2020,,3675,245,10146,14066,,57,5,62,78,41,14185,99,458,557,24752,2763,,1
Sur,,,,19,9/5/2020,,0,0,0,0,,1,3,4,12,5,17,4,6,10,145,0,,0
Total PAIS,,,,19,9/5/2020,,34648,805,39114,74567,0,1771,90,1861,877,137,75581,1261,3145,4406,143822,42328,,2
Buenos Aires,17541141,307571,Centro,18,4/5/2020,24.87,3553,140,559,4252,DEN 1 - DEN 2 - DEN 4,360,22,382,104,7,4363,9,41,50,10383,646,,4
CABA,3075646,200,Centro,18,4/5/2020,185.98,2931,15,2672,5618,DEN 1 - DEN 2 - DEN 4,298,0,298,102,0,5720,1,0,1,9294,834,,1
Córdoba,3760450,165321,Centro,18,4/5/2020,41.64,1258,3,286,1547,DEN 1 - DEN 4,24,4,28,18,1,1566,349,445,794,6402,451,,0
Entre Ríos,1385961,78781,Centro,18,4/5/2020,33.91,316,7,128,451,DEN 1 - DEN 2 - DEN 4,16,2,18,17,2,470,1,11,12,1070,85,,5
Santa Fe,3536418,133007,Centro,18,4/5/2020,80.84,870,8,1958,2836,DEN 1 - DEN 2 - DEN 4,33,5,38,22,1,2859,19,43,62,5191,810,,0
Mendoza,1990338,148827,Cuyo,18,4/5/2020,0.60,1,0,0,6,DEN 2 - DEN 4,4,0,4,4,2,12,3,0,3,26,1,,6
San Juan,781217,89651,Cuyo,18,4/5/2020,1.79,3,1,0,4,Sin información,0,0,0,7,3,14,3,8,11,70,2,,16
San Luis,508328,76748,Cuyo,18,4/5/2020,3.54,13,0,0,13,Sin información,0,1,1,4,1,18,0,2,2,108,1,,0
Chaco,1204541,99633,NEA,18,4/5/2020,119.46,1349,3,64,1416,DEN 1 - DEN 4,12,0,12,23,0,1439,0,42,42,3787,459,1,4
Corrientes,1120801,88199,NEA,18,4/5/2020,86.37,835,53,9,897,DEN 1 - DEN 4,46,3,49,53,18,968,1,68,69,3366,177,,0
Formosa,605193,72066,NEA,18,4/5/2020,81.46,192,5,284,481,DEN 1 - DEN 4,33,3,36,12,0,493,0,26,26,1093,264,,1
Misiones,1261294,29801,NEA,18,4/5/2020,272.02,1372,0,2048,3420,DEN 1 - DEN 2 - DEN 4,27,0,27,11,0,3431,16,175,191,4930,592,,0
Catamarca,415438,102602,NOA,18,4/5/2020,94.12,185,128,12,325,DEN 1 - DEN 4,3,0,3,33,33,391,4,1,5,1247,57,,5
Jujuy,770881,53219,NOA,18,4/5/2020,343.50,576,1,2058,2635,DEN 1 - DEN 4,8,2,10,13,0,2648,77,100,177,4749,984,,0
La Rioja,393531,89680,NOA,18,4/5/2020,195.92,752,0,18,770,DEN 1,1,0,1,1,0,771,0,32,32,1612,43,,2
Salta,1424397,155488,NOA,18,4/5/2020,259.76,1259,19,2413,3691,DEN 1 - DEN 4,32,1,33,9,0,3700,30,182,212,6723,2038,,3
Santiago del Estero,978313,136351,NOA,18,4/5/2020,8.08,38,0,37,75,DEN 1 - DEN 4,4,0,4,4,0,79,2,3,5,958,35,,0
Tucuman,1694656,22524,NOA,18,4/5/2020,225.47,397,4,3406,3807,DEN 1 - DEN 4,8,2,10,12,2,3821,3,61,64,6113,2443,,104
Chubut,618994,224686,SUR,18,4/5/2020,0.00,0,0,0,0,Sin información,0,0,0,0,0,0,0,1,1,17,0,,109
La Pampa,358428,143440,SUR,18,4/5/2020,1.39,0,0,0,0,Sin información,0,0,0,5,0,5,0,0,0,23,0,,0
Neuquén,664057,94078,SUR,18,4/5/2020,0.75,0,0,0,0,Sin información,0,2,2,1,4,5,0,1,1,32,0,,2
Río Negro,747610,203013,SUR,18,4/5/2020,0.54,0,0,0,0,Sin información,1,1,2,4,0,4,0,0,0,23,0,,0
Santa Cruz,365698,243943,SUR,18,4/5/2020,0.27,0,0,0,0,Sin información,0,0,0,1,0,1,0,4,4,30,0,,0
Tierra del Fuego,176830,21571,SUR,18,4/5/2020,1.13,0,0,0,0,Sin información,0,0,0,1,1,2,0,0,0,16,0,,0
Centro,,,,18,4/5/2020,,8928,173,5603,14704,,731,33,764,263,11,14978,379,540,919,32340,2826,,1
Cuyo,,,,18,4/5/2020,,17,1,0,18,,4,1,5,15,6,39,6,10,16,204,1,,0
NEA,,,,18,4/5/2020,,3748,61,2405,6214,,118,6,124,99,18,6331,17,311,328,13176,-5681,,0
NOA,,,,18,4/5/2020,,3207,152,7944,11303,,56,5,61,72,35,11410,116,379,495,21402,-12487,1,1
Sur,,,,18,4/5/2020,,0,0,0,0,,1,3,4,12,5,17,0,6,6,141,0,,0
Total PAIS,,,,18,4/5/2020,,15900,387,15952,32239,,910,48,958,461,75,32775,518,1246,3418,67263,9919,,2
Buenos Aires,17541141,307571,Centro,16,18/4/2020,21.17,3166,7,433,3606,DEN 1 - DEN 2 - DEN 4,356,27,383,98,9,3713,10,41,51,9163,868,,4
CABA,3075646,200,Centro,16,18/4/2020,158.80,2642,1,2141,4784,DEN 1 - DEN 2 - DEN 4,298,0,298,100,0,4884,1,0,1,8052,1077,,1
Córdoba,3760450,165321,Centro,16,18/4/2020,29.65,901,3,192,1096,DEN 1 - DEN 4,24,4,28,18,1,1115,483,405,888,5565,135,,0
Entre Ríos,1385961,78781,Centro,16,18/4/2020,27.78,279,10,77,366,DEN 1 -  DEN 4,15,3,18,15,4,385,2,14,16,927,119,,5
Santa Fe,3536418,133007,Centro,16,18/4/2020,57.94,515,7,1504,2026,DEN 1 - DEN 2 - DEN 4,31,6,37,21,2,2049,50,113,163,4011,694,,0
Mendoza,1990338,148827,Cuyo,16,18/4/2020,0.45,1,0,2,5,DEN 2 - DEN 4,4,0,4,2,2,9,1,2,3,26,3,,6
San Juan,781217,89651,Cuyo,16,18/4/2020,1.41,2,0,0,2,Sin información,0,0,0,5,4,11,0,3,3,43,0,,16
San Luis,508328,76748,Cuyo,16,18/4/2020,3.34,12,0,0,12,Sin información,0,1,1,4,1,17,0,0,0,91,4,,0
Chaco,1204541,99633,NEA,16,18/4/2020,81.36,941,3,13,957,DEN 1 - DEN 4,12,0,12,23,0,980,0,41,41,3044,182,,3
Corrientes,1120801,88199,NEA,16,18/4/2020,70.40,656,60,4,720,DEN 1 - DEN 4,46,3,49,50,19,789,1,56,57,2840,182,,0
Formosa,605193,72066,NEA,16,18/4/2020,38.00,190,5,22,217,DEN 1 - DEN 4,33,3,36,13,0,230,0,27,27,830,52,,1
Misiones,1261294,29801,NEA,16,18/4/2020,225.09,1190,0,1638,2828,DEN 1 - DEN 2 - DEN 4,27,0,27,11,0,2839,16,161,177,4254,211,,0
